blueWins,blueKillDiff,blueAssistsDiff,blueAvgLvlDiff,blueTowerDestroyedDiff,blueCSPerMinDiff,dragTeam,heraldTeam,fbTeam
1,0.5757575757575757,0.6666666666666665,-0.4,0,0.42914979757085026,1,0,1
0,0.6060606060606061,0.5833333333333333,0.4,0,0.35627530364372473,-1,-1,1
0,0.3333333333333333,0.41666666666666663,-0.8,0,0.24291497975708504,1,0,-1
1,0.45454545454545453,0.43749999999999994,0.2,0,0.5789473684210527,1,1,1
0,0.6060606060606061,0.5624999999999999,0.6,0,0.6396761133603239,-1,1,1
0,0.5454545454545454,0.5833333333333333,0.6,0,0.7004048582995952,1,0,1
1,0.6060606060606061,0.5833333333333333,0.2,0,0.6518218623481782,0,0,-1
1,0.6060606060606061,0.49999999999999994,0.4,0,0.7004048582995952,1,0,1
1,0.5454545454545454,0.6041666666666666,-0.2,0,0.7449392712550608,-1,0,1
0,0.5151515151515151,0.5208333333333333,-0.4,0,0.4858299595141701,-1,0,1
0,0.303030303030303,0.41666666666666663,-1.0,-1,0.18218623481781382,1,0,-1
